2025-12-29 14:29:28 | INFO     | src.main:run:35 - Translation: Enabled
2025-12-29 14:29:28 | INFO     | src.main:run:36 - Image fetching: Enabled
2025-12-29 14:29:28 | INFO     | src.main:run:37 - RSS Feeds: 4
2025-12-29 14:29:28 | INFO     | src.main:run:38 - ============================================================
2025-12-29 14:29:28 | INFO     | src.main:run:42 - Initializing database...
2025-12-29 14:29:28 | INFO     | src.database.database:create_tables:41 - Database tables created
2025-12-29 14:29:28 | INFO     | src.main:run:46 - Creating scheduler...
2025-12-29 14:29:28 | INFO     | src.core.scheduler:initialize:30 - Initializing scheduler...
2025-12-29 14:29:28 | INFO     | src.services.telegram_service:connect:34 - Connecting to Telegram...
2025-12-29 14:29:29 | INFO     | src.services.telegram_service:connect:38 - First run: Authorization required
2025-12-29 14:29:52 | SUCCESS  | src.services.telegram_service:connect:53 - Telegram authorization successful
2025-12-29 14:29:52 | SUCCESS  | src.services.telegram_service:connect:58 - Connected to channel: @mirzohamidov
2025-12-29 14:29:52 | INFO     | src.database.repositories:create:22 - Created feed: https://www.techcrunch.com/feed/
2025-12-29 14:29:52 | INFO     | src.core.scheduler:_initialize_feeds:47 - Added feed to database: https://www.techcrunch.com/feed/
2025-12-29 14:29:52 | INFO     | src.database.repositories:create:22 - Created feed: https://www.wired.com/feed/rss
2025-12-29 14:29:52 | INFO     | src.core.scheduler:_initialize_feeds:47 - Added feed to database: https://www.wired.com/feed/rss
2025-12-29 14:29:52 | INFO     | src.database.repositories:create:22 - Created feed: https://www.cnet.com/rss/news/
2025-12-29 14:29:52 | INFO     | src.core.scheduler:_initialize_feeds:47 - Added feed to database: https://www.cnet.com/rss/news/
2025-12-29 14:29:52 | INFO     | src.database.repositories:create:22 - Created feed: https://www.bbc.com/news/technology/rss.xml
2025-12-29 14:29:52 | INFO     | src.core.scheduler:_initialize_feeds:47 - Added feed to database: https://www.bbc.com/news/technology/rss.xml
2025-12-29 14:29:52 | SUCCESS  | src.core.scheduler:initialize:38 - Scheduler initialized
2025-12-29 14:29:52 | SUCCESS  | src.main:run:51 - Application started successfully!
2025-12-29 14:29:52 | INFO     | src.main:run:52 - Press Ctrl+C to stop
2025-12-29 14:29:52 | INFO     | src.core.scheduler:start:151 - Scheduler started
2025-12-29 14:29:52 | INFO     | src.core.scheduler:run_cycle:114 - Starting posting cycle...
2025-12-29 14:29:52 | INFO     | src.core.article_processor:process_feed:93 - Processing feed: https://www.techcrunch.com/feed/
2025-12-29 14:29:52 | INFO     | src.services.rss_service:parse_feed:19 - Parsing feed: https://www.techcrunch.com/feed/
2025-12-29 14:29:54 | SUCCESS  | src.services.rss_service:parse_feed:31 - Parsed 20 entries from https://www.techcrunch.com/feed/
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: Sauron, the high-end home security startup for “super premium” customers, plucks a new CEO out of Sonos
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: Police charge driver who allegedly killed a pedestrian while livestreaming on TikTok
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: You may soon be able to change your Gmail address
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: The 33 top health and wellness startups from Disrupt Startup Battlefield
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: The Google Pixel Watch 4 made me like smartwatches again
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: OpenAI is looking for a new Head of Preparedness
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:130 - Found relevant article: The 14 fintech, real estate, proptech startups from Disrupt Startup Battlefield
2025-12-29 14:29:54 | INFO     | src.services.rss_service:fetch_relevant_entries:132 - Found 7 relevant entries from https://www.techcrunch.com/feed/
2025-12-29 14:29:54 | INFO     | src.core.article_processor:process_article:38 - Processing article: Sauron, the high-end home security startup for “super premium” customers, plucks a new CEO out of Sonos
2025-12-29 14:29:54 | INFO     | src.core.article_processor:process_article:41 - Translating content...
2025-12-29 14:29:54 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
2025-12-29 14:30:00 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Sauron, “super premium” mijozlar uchun yuqori dara...
2025-12-29 14:30:00 | INFO     | src.services.translation_service:translate:47 - Translating to ru using bing
2025-12-29 14:30:01 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Саурон, стартап по домашней безопасности премиум-к...
2025-12-29 14:30:01 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
2025-12-29 14:30:03 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Sauron sahnaga chiqmoqda, eng boylar orasida jinoy...
2025-12-29 14:30:03 | INFO     | src.services.translation_service:translate:47 - Translating to ru using bing
2025-12-29 14:30:04 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Саурон появляется на горизонте на фоне растущей тр...
2025-12-29 14:30:04 | INFO     | src.core.article_processor:process_article:51 - Formatting message...
2025-12-29 14:30:04 | WARNING  | src.core.content_formatter:format_message:136 - Message length (1123) exceeds recommended limit. May fail with images.
2025-12-29 14:30:04 | INFO     | src.core.article_processor:process_article:55 - Extracting image...
2025-12-29 14:30:04 | INFO     | src.services.image_service:extract_from_page:46 - Fetching page for image: https://techcrunch.com/2025/12/28/from-sonos-to-sauron-new-ceo-takes-on-high-end-home-security-startup-still-in-development/
2025-12-29 14:30:06 | SUCCESS  | src.services.image_service:extract_from_page:77 - Found og:image: https://techcrunch.com/wp-content/uploads/2025/12/Max-Headshot.jpg?resize=1135,1200
2025-12-29 14:30:06 | ERROR    | src.core.content_formatter:validate_message_length:158 - Message too long: 1123 characters (max: 1024 for image)
2025-12-29 14:30:06 | WARNING  | src.core.article_processor:process_article:63 - Message too long, will attempt to send anyway
2025-12-29 14:30:06 | SUCCESS  | src.core.article_processor:process_article:76 - Article processed successfully: Sauron, the high-end home security startup for “super premium” customers, plucks a new CEO out of Sonos
2025-12-29 14:30:06 | INFO     | src.core.article_processor:process_article:38 - Processing article: Police charge driver who allegedly killed a pedestrian while livestreaming on TikTok
2025-12-29 14:30:06 | INFO     | src.core.article_processor:process_article:41 - Translating content...
2025-12-29 14:30:06 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
2025-12-29 14:30:07 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Politsiya TikTok-da jonli efirda bo‘lish paytida p...
2025-12-29 14:30:07 | INFO     | src.services.translation_service:translate:47 - Translating to ru using bing
2025-12-29 14:30:09 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Полиция предъявила обвинение водителю, который яко...
2025-12-29 14:30:09 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
2025-12-29 14:30:11 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Mahalliy politsiya, TikTok’da jonli efirda bo‘lgan...
2025-12-29 14:30:11 | INFO     | src.services.translation_service:translate:47 - Translating to ru using bing
2025-12-29 14:30:13 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Местная полиция сообщила, что предъявила обвинения...
2025-12-29 14:30:13 | INFO     | src.core.article_processor:process_article:51 - Formatting message...
2025-12-29 14:30:13 | WARNING  | src.core.content_formatter:format_message:136 - Message length (1192) exceeds recommended limit. May fail with images.
2025-12-29 14:30:13 | INFO     | src.core.article_processor:process_article:55 - Extracting image...
2025-12-29 14:30:13 | INFO     | src.services.image_service:extract_from_page:46 - Fetching page for image: https://techcrunch.com/2025/12/28/police-charge-driver-who-allegedly-killed-a-pedestrian-while-livestreaming-on-tiktok/
2025-12-29 14:30:14 | SUCCESS  | src.services.image_service:extract_from_page:77 - Found og:image: https://techcrunch.com/wp-content/uploads/2024/04/GettyImages-2084803237.jpg?resize=1200,675
2025-12-29 14:30:14 | ERROR    | src.core.content_formatter:validate_message_length:158 - Message too long: 1192 characters (max: 1024 for image)
2025-12-29 14:30:14 | WARNING  | src.core.article_processor:process_article:63 - Message too long, will attempt to send anyway
2025-12-29 14:30:14 | SUCCESS  | src.core.article_processor:process_article:76 - Article processed successfully: Police charge driver who allegedly killed a pedestrian while livestreaming on TikTok
2025-12-29 14:30:14 | INFO     | src.core.article_processor:process_article:38 - Processing article: You may soon be able to change your Gmail address
2025-12-29 14:30:14 | INFO     | src.core.article_processor:process_article:41 - Translating content...
2025-12-29 14:30:14 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
2025-12-29 14:30:15 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Siz tez orada Gmail manzilingizni o'zgartirishingi...
2025-12-29 14:30:15 | INFO     | src.services.translation_service:translate:47 - Translating to ru using bing
2025-12-29 14:30:16 | SUCCESS  | src.services.translation_service:translate:58 - Translation successful with bing: Вскоре вы сможете изменить свой адрес Gmail...
2025-12-29 14:30:16 | INFO     | src.services.translation_service:translate:47 - Translating to uz using bing
